"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Enrichment_Group"
"GO:0001558","regulation of cell growth",145,-0.271868394571317,-1.18886073054873,0.192922374429224,0.504611589143857,0.419449544262502,1795,"tags=43%, list=31%, signal=30%","22883/85004/4682/25942/1398/11007/10488/6597/6195/9175/2335/23678/1026/51094/55004/2810/3486/999/102/253260/2664/7422/734/51330/64223/4323/9792/8725/56963/6868/10519/1956/9798/6386/207/3621/23327/8877/6696/2539/6446/998/5058/1032/3872/1785/2017/1031/1906/9564/634/56994/6422/3490/3487/1839/58191/183/11170/5270/6280/6279","TotalCell"
"GO:1903725","regulation of phospholipid metabolic process",10,0.455393337368393,1.28860293978218,0.193548387096774,0.505443971055657,0.420141447145964,496,"tags=30%, list=8%, signal=28%","84879/5580/3417","BRCA1_tumour"
"GO:0030902","hindbrain development",49,0.269796553339727,1.20349243460055,0.193548387096774,0.505443971055657,0.420141447145964,624,"tags=22%, list=11%, signal=20%","3212/3213/7846/22809/4192/372/1312/80184/5781/91137/79934","BRCA1_tumour"
"GO:1904738","vascular associated smooth muscle cell migration",12,0.426264406233948,1.29141420518493,0.193820224719101,0.505800404871006,0.42043772651137,86,"tags=17%, list=1%, signal=16%","3488/9510","BRCA1_tumour"
"GO:2000377","regulation of reactive oxygen species metabolic process",57,-0.322828742694966,-1.22340353870702,0.194622279129321,0.507539048922731,0.421882943923772,793,"tags=23%, list=14%, signal=20%","2539/140823/9263/80149/1647/5873/6648/183/5879/10901/7124/54/3934","TotalCell"
"GO:0000725","recombinational repair",91,0.225548253265858,1.15844290301915,0.194805194805195,0.507661794272673,0.421984973845798,1232,"tags=34%, list=21%, signal=27%","348654/8089/1111/675/25842/472/84250/64859/84893/8914/55010/54799/79677/80010/86/142/7520/64710/3276/5531/23126/10856/29072/23376/64110/26122/126074/1859/1108/55183/196528","BRCA1_tumour"
"GO:0061024","membrane organization",356,-0.241959475126279,-1.14377974824491,0.194994786235662,0.507801753423463,0.422101312438246,2030,"tags=41%, list=35%, signal=28%","3954/26258/23471/440026/51100/56993/6711/578/9341/26984/10939/5862/2339/10211/310/51271/23250/6844/6399/23463/9631/158234/23141/4000/5336/8870/26517/1398/89941/84364/387/90580/2010/79135/29928/221496/55362/84823/9146/92421/51228/93380/23673/64083/80346/84936/5819/9212/11261/100133941/2013/5347/11336/7465/55647/56904/51201/129531/8301/137492/808/8996/5306/11151/84233/7329/6845/55909/10282/9688/23557/665/23204/1718/9525/9929/8826/84303/3099/2055/124491/1956/9798/8841/137886/10043/207/301/8877/347735/3638/29763/140823/637/10458/553115/22848/3611/9093/10105/998/9144/26515/291/1785/152015/27183/28988/598/55971/23400/23065/11252/10652/834/10397/8266/26509/858/481/23616/302/4627/84937/4155/55165/79643/9145/81037/5366/9844/93099/8459/2119/840/246777/5728/5879/85377/857/9935/388121/53947/27040/2621","TotalCell"
"GO:0072698","protein localization to microtubule cytoskeleton",31,-0.372099417644928,-1.24327795372295,0.195224719101124,0.508046500891991,0.422304754484251,1607,"tags=45%, list=27%, signal=33%","10982/1729/5347/4926/9585/6788/283489/84376/137886/8766/23386/50855/58489/29887","TotalCell"
"GO:0006941","striated muscle contraction",45,-0.34111876459912,-1.2368435326478,0.195417789757412,0.508195045458212,0.422428229552887,991,"tags=27%, list=17%, signal=22%","2316/23327/3728/6261/7423/80149/481/23336/7168/7124/857/6781","TotalCell"
"GO:0044060","regulation of endocrine process",12,0.424974303640849,1.28750569959424,0.196629213483146,0.509104945279506,0.423184567840745,465,"tags=33%, list=8%, signal=31%","2697/5443/10765/5781","BRCA1_tumour"
"GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity",20,-0.415463298875379,-1.26440852617918,0.195936139332366,0.509104945279506,0.423184567840745,1269,"tags=40%, list=22%, signal=31%","92359/2195/3611/998/3993/4478/23616/50855","TotalCell"
"GO:0021955","central nervous system neuron axonogenesis",12,-0.476190370659022,-1.26019987679946,0.196594427244582,0.509104945279506,0.423184567840745,831,"tags=33%, list=14%, signal=29%","4781/4929/5728/1009","TotalCell"
"GO:1903421","regulation of synaptic vesicle recycling",12,-0.475232002849188,-1.25766363274604,0.196594427244582,0.509104945279506,0.423184567840745,181,"tags=33%, list=3%, signal=32%","808/60/5879/4638","TotalCell"
"GO:0010574","regulation of vascular endothelial growth factor production",12,-0.474163161313794,-1.25483502877961,0.196594427244582,0.509104945279506,0.423184567840745,256,"tags=25%, list=4%, signal=24%","6095/284340/23213","TotalCell"
"GO:1902806","regulation of cell cycle G1/S phase transition",98,-0.289803045720213,-1.19719897711488,0.19672131147541,0.509104945279506,0.423184567840745,1016,"tags=24%, list=17%, signal=21%","6868/896/60/1956/5721/207/2146/1263/301/9134/637/4291/1032/55159/1031/7027/51065/29117/7114/11170/5728/898/1869/6347","TotalCell"
"GO:0051668","localization within membrane",303,-0.24238145450209,-1.13635888919531,0.196409714889124,0.509104945279506,0.423184567840745,2020,"tags=40%, list=35%, signal=28%","1020/23471/55625/51100/56993/6711/9341/403/30844/64429/2339/10211/10434/130617/55706/4836/6844/23463/9631/22883/158234/8500/4000/5317/26517/1398/7162/55107/90580/29928/23062/54471/84823/51304/9146/200894/93380/23673/5898/64083/55004/5870/11261/54206/100133941/2013/81831/2810/11004/999/9397/483/102/4301/2664/1605/51201/92359/8301/137492/8473/808/90522/55146/340481/84233/29934/4323/150684/23204/382/3265/50848/537/2316/10519/60/1956/6386/5824/207/3728/140823/637/84243/5621/51125/9093/3958/8766/5058/1445/26515/3993/5604/27183/598/23065/10791/8266/481/22876/9914/79156/10867/79651/23779/2817/2119/4067/63971/5879/975/7124/85377/1830/857/27040/10082/2621/7130","TotalCell"
"GO:0030048","actin filament-based movement",39,-0.346539366756675,-1.21601206429592,0.198087431693989,0.512285627848053,0.425828454510262,991,"tags=28%, list=17%, signal=24%","2316/23327/7798/3728/55742/4627/25777/7168/857/6781/59","TotalCell"
"GO:0070201","regulation of establishment of protein localization",215,-0.254313283499138,-1.16260151885909,0.198266522210184,0.512394186375836,0.425918691884876,1159,"tags=24%, list=20%, signal=20%","1509/10055/55691/29934/150684/665/54972/2746/382/3265/51547/2316/10134/10519/8841/337867/1263/3123/56262/8660/3638/3728/1459/5621/80223/8766/9531/5058/1445/51124/23514/5905/5478/23400/65057/80149/8754/415116/27113/6558/50855/79651/4792/5879/975/7124/6288/23401/2621/2867/347","TotalCell"
"GO:0055010","ventricular cardiac muscle tissue morphogenesis",11,-0.487796467748785,-1.26234527744412,0.199372056514914,0.512769012523216,0.426230259554106,230,"tags=27%, list=4%, signal=26%","55636/7168/2303","TotalCell"
"GO:0032933","SREBP signaling pathway",11,-0.487756597251446,-1.26224209848045,0.199372056514914,0.512769012523216,0.426230259554106,1873,"tags=55%, list=32%, signal=37%","6720/6721/10613/207/3638/267","TotalCell"
"GO:0071501","cellular response to sterol depletion",11,-0.487756597251446,-1.26224209848045,0.199372056514914,0.512769012523216,0.426230259554106,1873,"tags=55%, list=32%, signal=37%","6720/6721/10613/207/3638/267","TotalCell"
"GO:0007088","regulation of mitotic nuclear division",52,-0.331088969153264,-1.23513911979385,0.198959687906372,0.512769012523216,0.426230259554106,1509,"tags=48%, list=26%, signal=36%","51203/9184/3550/9212/5347/9585/51451/4288/25970/11065/25906/11130/57405/10419/9319/10403/8877/332/998/55055/1906/858/1843/9088/7124","TotalCell"
"GO:0016311","dephosphorylation",51,-0.330145611463073,-1.22658802838405,0.199208443271768,0.512769012523216,0.426230259554106,1066,"tags=49%, list=18%, signal=40%","5495/5530/5784/5771/11266/26469/1844/84513/11261/5515/30833/8725/8826/55529/55012/54935/8611/10076/22876/28227/1843/5782/5728/5791/1847","TotalCell"
"GO:0051960","regulation of nervous system development",135,-0.273960973191324,-1.18184629227798,0.198843930635838,0.512769012523216,0.426230259554106,1410,"tags=36%, list=24%, signal=28%","999/3418/1523/27067/2664/7422/4204/23654/1605/2332/84376/1075/51330/7533/3280/6692/1499/10419/56963/9798/207/2146/55636/6009/6696/10458/4915/56965/5058/5604/54626/26022/5605/1890/302/567/3976/79006/146433/2119/4067/5728/7124/3556/79365/3400/1869/7832/5270","TotalCell"
"GO:0000018","regulation of DNA recombination",63,0.249570853847679,1.18011208350341,0.199052132701422,0.512769012523216,0.426230259554106,1232,"tags=37%, list=21%, signal=29%","8089/1111/84787/472/84893/8914/4437/55010/23529/54799/86/142/3276/5531/10856/56916/29072/64110/2956/26122/6778/55183/196528","BRCA1_tumour"
"GO:0045920","negative regulation of exocytosis",14,-0.464726236308577,-1.27472740415484,0.200312989045383,0.513274051405093,0.426650064277969,1285,"tags=36%, list=22%, signal=28%","2332/9525/301/634/3134","TotalCell"
"GO:1900242","regulation of synaptic vesicle endocytosis",10,-0.508273164625885,-1.2708849682989,0.2,0.513274051405093,0.426650064277969,181,"tags=40%, list=3%, signal=39%","808/60/5879/4638","TotalCell"
