"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Reactome","2","R-HSA-1168372","Downstream signaling events of B Cell Receptor (BCR)","11/373","67/10039",3.17950134632783e-05,0.000217940365011926,0.000143001495959242,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4",11
"Reactome","2","R-HSA-421270","Cell-cell junction organization","21/373","209/10039",3.21061179398524e-05,0.000218747104758874,0.000143530837968269,"PSMB2/PSMA5/PSMB4/NECTIN4/OST4/RPS27A/PSMD2/CSNK2B/HDAC2/PSMB1/MYC/TMEM258/CADM1/PSMB5/PSMA3/CLDN7/UBB/SEC11C/RPN2/UBA52/PSMC4",21
"Reactome","2","R-HSA-162906","HIV Infection","21/373","211/10039",3.70055496791424e-05,0.000250618423276108,0.000164443192712231,"PSMB2/PSMA5/PSMB4/RPS27A/CXCR4/SEC13/AP2M1/PSMD2/POLR2H/NCBP2/CCNH/HMGA1/PSMB1/PSIP1/PSMB5/PSMA3/UBB/UBA52/PSMC4/POLR2F/RBX1",21
"Reactome","2","R-HSA-389957","Prefoldin mediated transfer of substrate  to CCT/TriC","7/373","27/10039",4.30831710577582e-05,0.000290042062299551,0.00019031099997318,"CCT4/CCT5/TCP1/TUBA1C/CCT2/PFDN4/CCT8",7
"Reactome","2","R-HSA-9912633","Antigen processing: Ub, ATP-independent proteasomal degradation","6/373","19/10039",4.54464131521035e-05,0.000304141380325616,0.000199562262673516,"PSMB2/PSMA5/PSMB4/PSMB1/PSMB5/PSMA3",6
"Reactome","2","R-HSA-69231","Cyclin D associated events in G1","9/373","47/10039",4.77166140892685e-05,0.000315599359853583,0.000207080412021756,"CKS1B/RPS27A/CCNH/CDKN2A/CCND1/CDK4/UBB/UBA52/PPP2R1A",9
"Reactome","2","R-HSA-69236","G1 Phase","9/373","47/10039",4.77166140892685e-05,0.000315599359853583,0.000207080412021756,"CKS1B/RPS27A/CCNH/CDKN2A/CCND1/CDK4/UBB/UBA52/PPP2R1A",9
"Reactome","2","R-HSA-9705683","SARS-CoV-2-host interactions","19/373","183/10039",4.86713431868373e-05,0.000320042378746005,0.000209995697348349,"RPS7/YWHAQ/RPS27A/SEC13/RPS23/RPS18/RPS10/GJA1/RPS6/RPS25/RPS24/RPS26/MAP1LC3B/UBB/UBA52/RPS16/RPS11/RPS9/RPS5",19
"Reactome","2","R-HSA-5607764","CLEC7A (Dectin-1) signaling","12/373","84/10039",5.84597651737311e-05,0.000382184938794739,0.000250770516869367,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/CLEC7A/PSMB5/PSMA3/UBB/UBA52/PSMC4",12
"Reactome","2","R-HSA-109581","Apoptosis","14/373","111/10039",5.93560541408083e-05,0.000385814351915254,0.000253151955047004,"PSMB2/PSMA5/PSMB4/YWHAQ/RPS27A/PSMD2/PSMB1/CDKN2A/VIM/PSMB5/PSMA3/UBB/UBA52/PSMC4",14
"Reactome","2","R-HSA-6782210","Gap-filling DNA repair synthesis and ligation in TC-NER","10/373","62/10039",8.50080042813215e-05,0.000548331891563552,0.000359787783100474,"RPS27A/POLE4/POLR2H/RFC4/CCNH/UBB/PCNA/UBA52/POLR2F/RBX1",10
"Reactome","2","R-HSA-9931295","PD-L1(CD274) glycosylation and translocation to plasma membrane","6/373","21/10039",8.53283933821266e-05,0.000548331891563552,0.000359787783100474,"OST4/RPS27A/TMEM258/UBB/RPN2/UBA52",6
"Reactome","2","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex","7/373","30/10039",8.96948615084113e-05,0.000573134962519849,0.000376062309624918,"RPS27A/POLE4/RFC4/UBB/PCNA/UBA52/RBX1",7
"Reactome","2","R-HSA-6782135","Dual incision in TC-NER","10/373","63/10039",9.77627368521258e-05,0.000621177839212103,0.000407585626734173,"RPS27A/POLE4/POLR2H/RFC4/CCNH/UBB/PCNA/UBA52/POLR2F/RBX1",10
"Reactome","2","R-HSA-1236978","Cross-presentation of soluble exogenous antigens (endosomes)","8/373","41/10039",0.00010971507916207,0.000686012837821776,0.000450127088896042,"PSMB2/PSMA5/PSMB4/PSMD2/PSMB1/PSMB5/PSMA3/PSMC4",8
"Reactome","2","R-HSA-5696400","Dual Incision in GG-NER","8/373","41/10039",0.00010971507916207,0.000686012837821776,0.000450127088896042,"PARP1/RPS27A/POLE4/RFC4/UBB/PCNA/UBA52/RBX1",8
"Reactome","2","R-HSA-5358351","Signaling by Hedgehog","15/373","132/10039",0.000109786316220815,0.000686012837821776,0.000450127088896042,"PSMB2/PSMA5/PSMB4/ERLEC1/RPS27A/PSMD2/PSMB1/TUBA1B/TUBA1C/PSMB5/PSMA3/UBB/UBA52/PSMC4/RBX1",15
"Reactome","2","R-HSA-2979096","NOTCH2 Activation and Transmission of Signal to the Nucleus","6/373","22/10039",0.000113682057765012,0.000706452787539716,0.000463538754912281,"APH1A/RPS27A/MDK/UBB/UBA52/PSENEN",6
"Reactome","2","R-HSA-382556","ABC-family proteins mediated transport","12/373","90/10039",0.000115968836406563,0.000716725431561875,0.000470279146773812,"PSMB2/PSMA5/PSMB4/ERLEC1/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4",12
"Reactome","2","R-HSA-9694516","SARS-CoV-2 Infection","24/373","282/10039",0.000130547339122967,0.000802440437761279,0.000526521018773979,"RPS7/YWHAQ/SDC1/OST4/RPS27A/SUMO1/SEC13/RPS23/RPS18/RPS10/GJA1/RPS6/TMEM258/RPS25/RPS24/RPS26/MAP1LC3B/UBB/RPN2/UBA52/RPS16/RPS11/RPS9/RPS5",24
"Reactome","2","R-HSA-202424","Downstream TCR signaling","11/373","78/10039",0.000133490245819125,0.000816094421737459,0.000535480075689802,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4",11
"Reactome","2","R-HSA-205043","NRIF signals cell death from the nucleus","5/373","15/10039",0.000152089469554866,0.000924802097132007,0.000606808579718055,"APH1A/RPS27A/UBB/UBA52/PSENEN",5
"Reactome","2","R-HSA-9909396","Circadian clock","13/373","107/10039",0.000159485048580125,0.000964586042481931,0.000632912801851888,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/CSNK2B/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4/RBX1",13
"Reactome","2","R-HSA-69481","G2/M Checkpoints","14/373","122/10039",0.00016676376878198,0.00100324373666181,0.000658278034665711,"PSMB2/PSMA5/PSMB4/YWHAQ/RPS27A/PSMD2/RFC4/PSMB1/PSMB5/PSMA3/UBB/BABAM1/UBA52/PSMC4",14
"Reactome","2","R-HSA-1500931","Cell-Cell communication","23/373","269/10039",0.000168011352305334,0.00100540126697002,0.000659693697439491,"PSMB2/PSMA5/PSMB4/NECTIN4/OST4/RPS27A/PSMD2/CSNK2B/HDAC2/PSMB1/MYC/TMEM258/CADM1/KRT5/PSMB5/PSMA3/CLDN7/UBB/KRT14/SEC11C/RPN2/UBA52/PSMC4",23
"Reactome","2","R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","24/373","287/10039",0.000170876842200794,0.00101716688699525,0.000667413704994789,"YBX1/MAGOH/SF3B6/RPS27A/PRPF40A/SEC13/POLR2H/NCBP2/FYTTD1/SF3B5/PUF60/SF3B2/RBM17/PCBP2/HNRNPA1/SRSF9/SAP18/UBB/DDX39A/LSM4/UBA52/RBM42/PRPF31/POLR2F",24
"Reactome","2","R-HSA-5688426","Deubiquitination","20/373","218/10039",0.000174790337468093,0.00103501503495505,0.000679124761173909,"PSMB2/PSMA5/PSMB4/RPS27A/ACTL6A/PSMD2/PSMB1/MYC/RAD23B/VDAC2/UCHL3/PSMB5/PSMA3/UBB/RAD23A/BABAM1/FKBP8/UBA52/PSMC4/TFPT",20
"Reactome","2","R-HSA-9734767","Developmental Cell Lineages","15/373","138/10039",0.00018132638675344,0.00106812574696948,0.000700850343537144,"EPCAM/CXCR4/KIT/DLX5/FABP5/CA2/AQP3/ALDH1A1/CALML5/VIM/KRT5/KRT8/KRT19/KRT14/SLPI",15
"Reactome","2","R-HSA-9824272","Somitogenesis","8/373","44/10039",0.000184628647824989,0.0010819430087568,0.0007099165351329,"PSMB2/PSMA5/PSMB4/PSMD2/PSMB1/PSMB5/PSMA3/PSMC4",8
