"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Biological_Theme"
"GO_BP","1","GO:0032602","chemokine production","1/52","92/15373",0.268494346081046,0.372279503802225,0.27199091171146,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0032642","regulation of chemokine production","1/52","92/15373",0.268494346081046,0.372279503802225,0.27199091171146,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0051606","detection of stimulus","2/52","300/15373",0.269711811088007,0.372334528799317,0.272031113492576,"HLA-A/HLA-DRB1",2,"Other biological processes"
"GO_BP","1","GO:0060326","cell chemotaxis","2/52","301/15373",0.270970608379887,0.372334528799317,0.272031113492576,"CD74/SAA1",2,"Other biological processes"
"GO_BP","1","GO:0032945","negative regulation of mononuclear cell proliferation","1/52","93/15373",0.270983600318582,0.372334528799317,0.272031113492576,"HLA-DRB1",1,"Other biological processes"
"GO_BP","1","GO:0043255","regulation of carbohydrate biosynthetic process","1/52","93/15373",0.270983600318582,0.372334528799317,0.272031113492576,"NNMT",1,"Other biological processes"
"GO_BP","1","GO:0046364","monosaccharide biosynthetic process","1/52","93/15373",0.270983600318582,0.372334528799317,0.272031113492576,"NNMT",1,"Other biological processes"
"GO_BP","1","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","1/52","93/15373",0.270983600318582,0.372334528799317,0.272031113492576,"ACTB",1,"Cell cycle / proliferation"
"GO_BP","1","GO:1905897","regulation of response to endoplasmic reticulum stress","1/52","93/15373",0.270983600318582,0.372334528799317,0.272031113492576,"CLU",1,"Other biological processes"
"GO_BP","1","GO:2000106","regulation of leukocyte apoptotic process","1/52","93/15373",0.270983600318582,0.372334528799317,0.272031113492576,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0043271","negative regulation of monoatomic ion transport","1/52","94/15373",0.273464546181372,0.37489615350231,0.273902660626687,"B2M",1,"Other biological processes"
"GO_BP","1","GO:0046889","positive regulation of lipid biosynthetic process","1/52","94/15373",0.273464546181372,0.37489615350231,0.273902660626687,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0042886","amide transport","2/52","304/15373",0.274746980408076,0.376230099297545,0.274877253988165,"CD74/HLA-DRB1",2,"Other biological processes"
"GO_BP","1","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","1/52","95/15373",0.275937210858286,0.376258915383989,0.274898307292319,"ACTB",1,"Cell cycle / proliferation"
"GO_BP","1","GO:0032755","positive regulation of interleukin-6 production","1/52","95/15373",0.275937210858286,0.376258915383989,0.274898307292319,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0061515","myeloid cell development","1/52","95/15373",0.275937210858286,0.376258915383989,0.274898307292319,"LTF",1,"Other biological processes"
"GO_BP","1","GO:0050890","cognition","2/52","305/15373",0.276005717534966,0.376258915383989,0.274898307292319,"HLA-DRA/B2M",2,"Other biological processes"
"GO_BP","1","GO:0002690","positive regulation of leukocyte chemotaxis","1/52","96/15373",0.278401621450992,0.37825292925632,0.27635515260763,"CD74",1,"Other biological processes"
