"Gene","Pseudotime_Bin","Z_Score","Cluster"
"MT-ATP6","Bin_20",-0.311563645346255,1
"LAPTM4A","Bin_1",-0.515616499798348,2
"LAPTM4A","Bin_2",-0.83392080837463,2
"LAPTM4A","Bin_3",-0.975170891721715,2
"LAPTM4A","Bin_4",-1.68479956290262,2
"LAPTM4A","Bin_5",-1.96739593474709,2
"LAPTM4A","Bin_6",-1.88064253658309,2
"LAPTM4A","Bin_7",-0.298754240587313,2
"LAPTM4A","Bin_8",0.187829547777867,2
"LAPTM4A","Bin_9",0.435850934745288,2
"LAPTM4A","Bin_10",0.75136092269852,2
"LAPTM4A","Bin_11",0.629545018632141,2
"LAPTM4A","Bin_12",0.530123308541839,2
"LAPTM4A","Bin_13",0.130071600419019,2
"LAPTM4A","Bin_14",0.0964116286848124,2
"LAPTM4A","Bin_15",0.504667200459702,2
"LAPTM4A","Bin_16",0.570167223241434,2
"LAPTM4A","Bin_17",1.14496116838074,2
"LAPTM4A","Bin_18",1.00624775427129,2
"LAPTM4A","Bin_19",1.1261255335521,2
"LAPTM4A","Bin_20",1.04293863331005,2
"CSTB","Bin_1",-1.62097348075512,2
"CSTB","Bin_2",-1.71448108660024,2
"CSTB","Bin_3",-1.85144662813193,2
"CSTB","Bin_4",-0.634648784180372,2
"CSTB","Bin_5",-1.3612226505595,2
"CSTB","Bin_6",-1.20006210549577,2
"CSTB","Bin_7",-0.194289875392981,2
"CSTB","Bin_8",0.712786566132534,2
"CSTB","Bin_9",0.549327345474916,2
"CSTB","Bin_10",0.567435552480606,2
"CSTB","Bin_11",0.583557870851864,2
"CSTB","Bin_12",0.673131428446183,2
"CSTB","Bin_13",0.291738436747199,2
"CSTB","Bin_14",0.27259964115876,2
"CSTB","Bin_15",0.70920941230174,2
"CSTB","Bin_16",0.714119828137672,2
"CSTB","Bin_17",1.10930826373188,2
"CSTB","Bin_18",0.90782868752672,2
"CSTB","Bin_19",0.829015062650508,2
"CSTB","Bin_20",0.657066515475313,2
"ATP5PO","Bin_1",-0.661374057403959,2
"ATP5PO","Bin_2",-1.23721592161123,2
"ATP5PO","Bin_3",-1.30718049034504,2
"ATP5PO","Bin_4",-1.05165283125747,2
"ATP5PO","Bin_5",-1.33787819042217,2
"ATP5PO","Bin_6",-1.80444304720927,2
"ATP5PO","Bin_7",-0.98485972912124,2
"ATP5PO","Bin_8",-0.75845461278214,2
"ATP5PO","Bin_9",0.891320832926061,2
"ATP5PO","Bin_10",0.916579345729288,2
"ATP5PO","Bin_11",0.653509391566045,2
"ATP5PO","Bin_12",0.663640569415387,2
"ATP5PO","Bin_13",0.618045488002054,2
"ATP5PO","Bin_14",0.436978517547945,2
"ATP5PO","Bin_15",0.52288152430253,2
"ATP5PO","Bin_16",0.486011944945076,2
"ATP5PO","Bin_17",0.731246193858313,2
"ATP5PO","Bin_18",0.904376900225519,2
"ATP5PO","Bin_19",1.13495600695621,2
"ATP5PO","Bin_20",1.1835121646781,2
"NACA","Bin_1",-0.629152607503825,2
"NACA","Bin_2",-0.504292775686652,2
"NACA","Bin_3",-0.553919007433146,2
"NACA","Bin_4",-1.78717044797626,2
"NACA","Bin_5",-0.64958142356525,2
"NACA","Bin_6",-2.45229052701117,2
"NACA","Bin_7",-1.54781433942497,2
"NACA","Bin_8",-0.210722232241533,2
"NACA","Bin_9",0.716319706203898,2
"NACA","Bin_10",0.605831457878176,2
"NACA","Bin_11",0.536192692711522,2
"NACA","Bin_12",0.730432543629094,2
"NACA","Bin_13",0.852436178703927,2
"NACA","Bin_14",0.923914367861809,2
"NACA","Bin_15",0.799898702240111,2
"NACA","Bin_16",0.505839773025209,2
"NACA","Bin_17",0.618142946089082,2
"NACA","Bin_18",0.688564293089712,2
"NACA","Bin_19",0.77519257309861,2
"NACA","Bin_20",0.582178126311658,2
"C6orf48","Bin_1",-0.812797252310349,2
"C6orf48","Bin_2",-1.05935384259432,2
"C6orf48","Bin_3",-1.10346568424178,2
"C6orf48","Bin_4",-1.47680451604562,2
"C6orf48","Bin_5",-1.08755057762575,2
"C6orf48","Bin_6",-1.71353363475057,2
"C6orf48","Bin_7",-1.05398440756329,2
"C6orf48","Bin_8",-0.887532137782816,2
"C6orf48","Bin_9",0.561435379609802,2
"C6orf48","Bin_10",0.28058502134813,2
"C6orf48","Bin_11",0.635611779420501,2
"C6orf48","Bin_12",0.73481546059903,2
"C6orf48","Bin_13",1.01094971988974,2
"C6orf48","Bin_14",1.2357092084471,2
"C6orf48","Bin_15",1.04038429786803,2
"C6orf48","Bin_16",0.900637802193537,2
"C6orf48","Bin_17",0.886949279864248,2
"C6orf48","Bin_18",0.705979442838892,2
"C6orf48","Bin_19",0.52005648175979,2
"C6orf48","Bin_20",0.681908179075704,2
"RPS16","Bin_1",-1.17277003413731,2
"RPS16","Bin_2",-1.16939195565586,2
"RPS16","Bin_3",-1.0470309021731,2
"RPS16","Bin_4",-1.24608812482029,2
"RPS16","Bin_5",-0.294592191898931,2
"RPS16","Bin_6",-2.52215354670754,2
"RPS16","Bin_7",-1.1160128397423,2
"RPS16","Bin_8",0.390438487863863,2
"RPS16","Bin_9",0.7770616743579,2
"RPS16","Bin_10",0.710589661429016,2
"RPS16","Bin_11",0.544990092934315,2
"RPS16","Bin_12",0.79872295456049,2
"RPS16","Bin_13",0.855523567954674,2
"RPS16","Bin_14",0.87373285826176,2
"RPS16","Bin_15",0.743585626196874,2
"RPS16","Bin_16",0.510486731510322,2
"RPS16","Bin_17",0.493537899309066,2
"RPS16","Bin_18",0.637518655786228,2
"RPS16","Bin_19",0.63634600875302,2
"RPS16","Bin_20",0.59550537621781,2
"EEF1A1","Bin_1",-0.230201725744758,2
"EEF1A1","Bin_2",-0.49609293215215,2
"EEF1A1","Bin_3",-0.466238640497823,2
"EEF1A1","Bin_4",-1.64429860885499,2
"EEF1A1","Bin_5",-0.618830317795623,2
"EEF1A1","Bin_6",-2.96980390010981,2
"EEF1A1","Bin_7",-1.31387388382228,2
"EEF1A1","Bin_8",0.523310081523819,2
"EEF1A1","Bin_9",0.70464866138712,2
"EEF1A1","Bin_10",0.515235242095478,2
"EEF1A1","Bin_11",0.26346204250652,2
"EEF1A1","Bin_12",0.724323852655632,2
"EEF1A1","Bin_13",0.647924570139563,2
"EEF1A1","Bin_14",0.743658860541139,2
"EEF1A1","Bin_15",0.76583553202575,2
"EEF1A1","Bin_16",0.491290519679581,2
