"Gene","Spearman_rho","p_value","FDR","Absolute_Spearman_rho","Direction","Stage16B_Strong_Gene"
"MINDY1",0.0448178248440221,0.000233936968873117,0.000523927650258893,0.0448178248440221,"Increasing",FALSE
"RNF135",0.0448144475287895,0.000234191656748243,0.000524417500246573,0.0448144475287895,"Increasing",FALSE
"CEMIP2",0.0448142809599229,0.000234204224658939,0.000524417500246573,0.0448142809599229,"Increasing",FALSE
"HECTD2",0.0447943577671378,0.0002357120367058,0.000527739029549558,0.0447943577671378,"Increasing",FALSE
"AC079922.2",0.0447884875044473,0.000236158039456243,0.000528682817015374,0.0447884875044473,"Increasing",FALSE
"MCHR1",-0.044786072875301,0.000236341724525234,0.000529039223844035,0.044786072875301,"Decreasing",FALSE
"LINC00987",-0.0447807561284885,0.000236746651339438,0.000529890744220119,0.0447807561284885,"Decreasing",FALSE
"AC233992.3",0.0447799948944436,0.000236804680641321,0.00052996573619086,0.0447799948944436,"Increasing",FALSE
"FGFR1",-0.0447740088465154,0.000237261465688345,0.000530933030291512,0.0447740088465154,"Decreasing",FALSE
"AF001548.2",-0.044764264733872,0.000238006790436839,0.000532545738386839,0.044764264733872,"Decreasing",FALSE
"EXOC3L1",-0.0447478605387623,0.000239266506442818,0.000535308955816265,0.0447478605387623,"Decreasing",FALSE
"AC091959.3",-0.044741035475218,0.000239792458918944,0.000536423050273078,0.044741035475218,"Decreasing",FALSE
"DAG1",0.0447407547163617,0.000239814117940223,0.000536423050273078,0.0447407547163617,"Increasing",FALSE
"CD209",-0.0447343163043172,0.000240311310307047,0.000537479550376246,0.0447343163043172,"Decreasing",FALSE
"JADE1",0.0447331991437603,0.000240397678978755,0.000537617079864524,0.0447331991437603,"Increasing",FALSE
"CTSZ",-0.04473224143418,0.000240471743532599,0.000537727067232975,0.04473224143418,"Decreasing",FALSE
"RAB42",-0.044717986136007,0.000241576711686939,0.000540142032028427,0.044717986136007,"Decreasing",FALSE
"KIF13B",-0.044714739614921,0.000241829023557231,0.000540650237851413,0.044714739614921,"Decreasing",FALSE
"PTPDC1",0.0447083201372076,0.000242328657783664,0.000541711212858692,0.0447083201372076,"Increasing",FALSE
"PPP2R5B",0.0447069065613157,0.000242438807772621,0.000541901389735865,0.0447069065613157,"Increasing",FALSE
"AL512329.2",0.0447004378517136,0.000242943468052275,0.000542973249002964,0.0447004378517136,"Increasing",FALSE
"ZNF256",0.0446961442406909,0.000243278980550636,0.000543666884146768,0.0446961442406909,"Increasing",FALSE
"LINC00707",-0.0446869198290459,0.000244001267288204,0.00054522462890064,0.0446869198290459,"Decreasing",FALSE
"TRAT1",-0.0446862894698832,0.000244050698799862,0.000545278701516235,0.0446862894698832,"Decreasing",TRUE
"ANKRD13D",0.0446815439509541,0.000244423134566531,0.00054605437175465,0.0446815439509541,"Increasing",FALSE
"AC004257.1",0.0446805131941774,0.00024450410040792,0.000546178789519863,0.0446805131941774,"Increasing",FALSE
