"Gene","Bin_1","Bin_2","Bin_3","Bin_4","Bin_5","Bin_6","Bin_7","Bin_8","Bin_9","Bin_10","Bin_11","Bin_12","Bin_13","Bin_14","Bin_15","Bin_16","Bin_17","Bin_18","Bin_19","Bin_20"
"CNPY2",-0.609561173530001,-1.38825947368961,-1.62753661220977,-1.6120665919888,-1.60093225083757,-0.203589013254883,-0.112773487655244,-1.25841282219711,-0.00987827275205984,0.680585281281527,0.689342454446229,0.322903718293437,0.538225637058943,0.600899410588133,0.723962995248588,0.540995723903712,1.10637028424361,0.912002155312547,1.26310921066485,1.04461282707347
"NUDT5",-1.19253665616405,-1.36130011042409,-1.44954128681034,-1.15585095912657,-1.41200101056992,-1.45391945007457,-0.546952225441912,-0.286937999832911,0.592675825465281,1.14509457647903,0.864246550580964,0.485727092183296,0.609792018563768,0.33728750732481,0.302883841164008,0.503892286031086,0.66242159058437,0.822905482704297,1.26105223248979,1.27106069487367
"SH3YL1",-0.932028746044612,-1.09289797010898,-1.07590254071303,-1.46282882781477,-1.7173935564881,-0.0317558648337094,-1.16648274902936,-0.831910764948655,-0.138185967262686,-0.0795633841725825,0.325800913122751,0.531602128273062,0.357013999385698,0.838525626967338,1.03374787308894,0.863206001941584,1.51007848433062,1.3472451527487,0.852055965026648,0.869674226531143
"SOD1",-0.602944226743723,-1.40590665558054,-1.41707904646705,-0.995885721185151,-1.46674887709148,-1.36524017498506,-1.2357494584634,-0.409751707400451,0.822638328142452,0.948500621924876,0.712055733119459,0.614935290551751,0.334659940199886,0.139225607465685,0.465943185174827,0.484383796568678,0.863739772028702,0.999913887395597,1.23577003034356,1.27753967500138
"ERH",-0.587047405578391,-1.14589575185349,-1.23682046934027,-1.29659104456704,-1.37844832793282,-1.4903769359164,-1.39420292988826,-0.258444997120219,0.672208645719431,0.768803446503299,0.710573648087633,0.407951144411706,0.410089911795835,0.295833380509964,0.333773166015663,0.501278355896393,0.913661424341664,1.05406729347605,1.46688094272375,1.2527065027155
"RPL36",1.08254263082665,1.43838529258219,1.53763050049297,0.882892443777607,0.879741899262961,-2.55973198367924,-1.39001567379862,-1.74316653369148,0.00319969746481853,-0.0177801551915937,0.0154050907661033,0.206115993504205,0.131218948853207,0.144061154992049,0.18722822179198,0.0376650616701615,-0.215811470397202,-0.114739627510007,-0.169562490796819,-0.335279000919928
"TSEN34",-1.16915529813195,-1.43969647403129,-1.46570707976061,-1.43549174861879,-1.31776702134507,-1.46657222864084,-0.511317998343141,-0.308768975584464,0.552265012311137,0.978338137405686,0.946684893275868,0.828454349808806,0.79797930238478,0.700084555980806,0.730160483542173,0.845462152651085,0.739794837038308,0.665851103179533,0.582671026458014,0.746730970419961
"TMEM213",-1.39860145595176,-1.21330791220558,-1.3347078384344,-1.41176833215058,-1.39467620990017,-0.33669246189187,-0.299099246966065,-0.903077987362917,-0.0295454973894004,0.0282258674871217,0.538207188957807,0.133006458931573,1.11096323799363,1.41924065037449,0.685719567456363,0.409823492196543,0.498988762830611,1.14262586962241,1.57183707304008,0.782838773362107
"MMADHC",-0.866103213946218,-1.02337205238291,-1.15710596486712,-1.20042185720721,-1.33114097460135,-1.37511860501865,-1.17641155676813,-1.17006598762119,0.551368526441902,0.710350909917937,0.762265201337245,0.50780222753007,0.600556922659979,0.496251447003806,0.593281543154984,0.642851845413181,0.965818957480899,0.994743297577954,1.19648690412733,1.2779624297675
"ETFB",-0.828415744541628,-1.27926268848918,-1.29617240041503,-1.30964396965129,-1.33725752078725,-1.53978195692179,-0.7232788983215,-0.980018508988612,0.450098159870004,0.749177024761458,0.704915753489184,0.736549743478838,0.623692652539094,0.532102790901469,0.741072775666982,0.90736292657592,0.860376412379044,1.05060413707915,0.78234380659436,1.15553550478078
