"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","DEG_direction","delta_pct"
0,2.15551833977123,0.994,0.976,0,"RPS5","Higher_in_BRCA1_tumour",0.018
0,2.15272233092189,0.354,0.051,0,"DDX10","Higher_in_BRCA1_tumour",0.303
0,2.15261865438965,0.237,0.03,0,"MORC4","Higher_in_BRCA1_tumour",0.207
1.40406392280022e-226,2.15104158728867,0.115,0.013,3.49120494404275e-222,"ZNF837","Higher_in_BRCA1_tumour",0.102
0,2.14843908786149,0.22,0.032,0,"FKBP7","Higher_in_BRCA1_tumour",0.188
1.14297344300237e-210,2.14807347441885,0.12,0.017,2.8420034660254e-206,"ALDH1L2","Higher_in_BRCA1_tumour",0.103
0,2.1475996179863,0.503,0.069,0,"EFHD1","Higher_in_BRCA1_tumour",0.434
2.23503991459765e-199,2.14170459487498,0.102,0.012,5.55742674764706e-195,"GEN1","Higher_in_BRCA1_tumour",0.09
9.4123809289e-259,2.14149600209788,0.138,0.017,2.34038851797099e-254,"PHLDB1","Higher_in_BRCA1_tumour",0.121
0,2.13946155330046,0.567,0.106,0,"EPB41L4A-AS1","Higher_in_BRCA1_tumour",0.461
0,2.11938652715254,0.557,0.101,0,"G3BP2","Higher_in_BRCA1_tumour",0.456
0,2.11929651344969,0.348,0.052,0,"AMMECR1","Higher_in_BRCA1_tumour",0.296
0,2.11164431593839,0.805,0.221,0,"PIGP","Higher_in_BRCA1_tumour",0.584
6.50982977449401e-238,2.10818921283588,0.125,0.015,1.61866917342794e-233,"HID1","Higher_in_BRCA1_tumour",0.11
0,2.10700656736057,0.737,0.175,0,"GTPBP4","Higher_in_BRCA1_tumour",0.562
0,2.1018409075596,0.918,0.351,0,"SNHG8","Higher_in_BRCA1_tumour",0.567
0,2.10077819046561,0.912,0.358,0,"TTC3","Higher_in_BRCA1_tumour",0.554
0,2.10065283077397,0.967,0.679,0,"KRT8","Higher_in_BRCA1_tumour",0.288
0,2.09777494236043,0.398,0.062,0,"QPRT","Higher_in_BRCA1_tumour",0.336
0,2.09724914914944,0.791,0.21,0,"EIF4B","Higher_in_BRCA1_tumour",0.581
4.78643585767883e-201,2.09071361692969,0.116,0.017,1.19014727601184e-196,"ADGRE5","Higher_in_BRCA1_tumour",0.099
0,2.08668850215629,0.623,0.122,0,"NET1","Higher_in_BRCA1_tumour",0.501
0,2.08376580805818,0.202,0.029,0,"CYB561D2","Higher_in_BRCA1_tumour",0.173
0,2.08166134214779,0.247,0.031,0,"ANKRD36C","Higher_in_BRCA1_tumour",0.216
0,2.07671567421546,0.977,0.728,0,"EEF1B2","Higher_in_BRCA1_tumour",0.249
0,2.0733741766077,0.232,0.03,0,"ANKRD36","Higher_in_BRCA1_tumour",0.202
9.44981159685991e-298,2.07230572745236,0.158,0.02,2.34969565355922e-293,"KCNK7","Higher_in_BRCA1_tumour",0.138
0,2.07076990767909,0.423,0.066,0,"H2AFY2","Higher_in_BRCA1_tumour",0.357
0,2.06724524236449,0.262,0.034,0,"TFB1M","Higher_in_BRCA1_tumour",0.228
0,2.05942592775027,0.199,0.026,0,"MAPK10","Higher_in_BRCA1_tumour",0.173
0,2.05414771898779,0.36,0.053,0,"ZNF83","Higher_in_BRCA1_tumour",0.307
0,2.05390863749463,0.391,0.056,0,"NPDC1","Higher_in_BRCA1_tumour",0.335
1.91066012967951e-223,2.05351874208146,0.133,0.02,4.75085641244811e-219,"NAAA","Higher_in_BRCA1_tumour",0.113
2.30307258219196e-272,2.04638857918366,0.147,0.019,5.7265899756203e-268,"AC067852.2","Higher_in_BRCA1_tumour",0.128
0,2.04614748693981,0.376,0.059,0,"HBS1L","Higher_in_BRCA1_tumour",0.317
9.55936119751928e-305,2.04342011759137,0.164,0.021,2.37693516176317e-300,"CAD","Higher_in_BRCA1_tumour",0.143
0,2.03440772648023,0.842,0.271,0,"RAB10","Higher_in_BRCA1_tumour",0.571
0,2.03348883997056,0.32,0.05,0,"FAM98A","Higher_in_BRCA1_tumour",0.27
1.85124416646402e-220,2.02905142970328,0.123,0.017,4.60311861991277e-216,"ZNF254","Higher_in_BRCA1_tumour",0.106
